sample   isr
4190     0.864
4200     0.868
4210     0.870
4220     0.875
4230     0.876
4237     0.879
4245     0.880
4246     0.881
4260     0.885
4270     0.886
4280     0.889
4290     0.891
4310     0.896
4315     0.897
4340     0.901
4360     0.905
4380     0.906
4390     0.910
4400     0.912
4420     0.915
4440     0.916
4470     0.920
4530     0.926
4575     0.930
4600     0.933
4610     0.933
4620     0.936
4640     0.936
4660     0.939
4680     0.940
4700     0.941
